symbol,date,event,score,detector
A,2025-04-09,SC,2.263250638804506,baseline
A,2025-11-25,BC,2.592046838899269,baseline
A,2025-12-01,AR_TOP,0.5889661766175055,baseline
AA,2025-04-09,SC,3.328916711998172,baseline
AA,2025-10-23,BC,4.758967034751199,baseline
AA,2025-10-24,AR_TOP,1.2751435704559868,baseline
AA,2024-05-22,UT,-0.4631417009129992,baseline
AA,2024-05-21,SOS,1.658847403884985,baseline
AAAU,2024-04-15,BC,2.3810844415865233,baseline
AAAU,2024-04-17,AR_TOP,0.6607704547327481,baseline
AAAU,2024-04-12,UT,4.691005555053734,baseline
AAAU,2024-08-02,SOS,3.889598545638116,baseline
AACB,2025-10-07,BC,2.226627817003336,baseline
AACB,2025-10-08,AR_TOP,1.8855159249949949,baseline
AACB,2025-10-27,SOS,2.093189372540788,baseline
AACG,2024-09-23,SC,3.034277501149429,baseline
AACG,2025-07-31,BC,4.532270569310561,baseline
AACG,2024-09-24,AR,1.5202924633942243,baseline
AACG,2025-08-01,AR_TOP,5.189559744527855,baseline
AACG,2024-08-19,SPRING,1.4032691568774356,baseline
AACG,2025-09-19,UT,-0.8167040927823732,baseline
AADR,2024-08-06,SC,3.441001828791779,baseline
AADR,2024-04-03,BC,2.3497001354718354,baseline
AADR,2024-08-08,AR,0.612242608889081,baseline
AADR,2024-04-04,AR_TOP,2.7577562340965094,baseline
AADR,2024-02-08,SPRING,,baseline
AADR,2024-06-12,UT,1.317136536124198,baseline
AADR,2024-05-22,SOS,1.544027630151248,baseline
AAL,2025-04-04,SC,2.42772918527935,baseline
AAL,2025-08-12,BC,2.182490491512602,baseline
AAL,2025-04-07,AR,2.599221138885942,baseline
AAL,2025-09-04,AR_TOP,1.6203209488844363,baseline
AAL,2024-03-08,UT,0.10410427215409782,baseline
AAL,2024-03-04,SOS,3.837972388281983,baseline
AAME,2024-11-25,SC,4.733593454857119,baseline
AAME,2025-12-19,BC,4.689225190480474,baseline
AAME,2024-11-27,AR,0.5101905952485946,baseline
