symbol,date,event,score,detector
ABTS,2025-03-04,SPRING,6.193263153755794,spring_after_ATR_compression_ratio
AIXI,2024-08-19,SPRING,5.8427449410332155,spring_after_ATR_compression_ratio
AMDD,2025-11-11,SPRING,0.9562769240258718,spring_after_ATR_compression_ratio
ARBK,2024-09-26,SPRING,1.4100402495988809,spring_after_ATR_compression_ratio
ASNS,2025-08-04,SPRING,4.078595119356778,spring_after_ATR_compression_ratio
ATAI,2024-10-04,SPRING,1.1581947313703642,spring_after_ATR_compression_ratio
AUTL,2025-02-28,SPRING,2.5902832630650074,spring_after_ATR_compression_ratio
BAER,2025-03-13,SPRING,1.0992990180622382,spring_after_ATR_compression_ratio
BBUC,2025-06-20,SPRING,2.287764183041253,spring_after_ATR_compression_ratio
BILL,2025-06-18,SPRING,1.0775139281357191,spring_after_ATR_compression_ratio
BLDP,2025-04-04,SPRING,2.350635165625658,spring_after_ATR_compression_ratio
BRFH,2024-09-12,SPRING,2.2086125422292735,spring_after_ATR_compression_ratio
BROS,2025-10-13,SPRING,2.2198467825026262,spring_after_ATR_compression_ratio
BTBT,2025-05-16,SPRING,1.67338610094215,spring_after_ATR_compression_ratio
CATY,2024-05-29,SPRING,0.9418156617382819,spring_after_ATR_compression_ratio
CC,2025-06-03,SPRING,1.03371141181031,spring_after_ATR_compression_ratio
CCIX,2025-02-20,SPRING,3.4824130484047657,spring_after_ATR_compression_ratio
CDLX,2025-09-15,SPRING,0.8796686575105384,spring_after_ATR_compression_ratio
CDP,2025-05-22,SPRING,1.4162212062680193,spring_after_ATR_compression_ratio
CING,2024-11-07,SPRING,5.590964999065401,spring_after_ATR_compression_ratio
CMCI,2025-03-03,SPRING,0.8716256496935175,spring_after_ATR_compression_ratio
COOT,2024-08-02,SPRING,2.0081371903468446,spring_after_ATR_compression_ratio
CRC,2025-05-30,SPRING,2.7178720625865402,spring_after_ATR_compression_ratio
CRH,2025-06-27,SPRING,1.264453829210907,spring_after_ATR_compression_ratio
CREV,2025-04-09,SPRING,1.9065741435783101,spring_after_ATR_compression_ratio
CRIS,2024-10-29,SPRING,3.0151952857146793,spring_after_ATR_compression_ratio
CRSP,2024-05-09,SPRING,1.2991899250813603,spring_after_ATR_compression_ratio
CUE,2024-09-27,SPRING,6.176838232778745,spring_after_ATR_compression_ratio
DLTR,2025-06-03,SPRING,1.9641690071349642,spring_after_ATR_compression_ratio
DTI,2025-09-16,SPRING,1.3171010091970385,spring_after_ATR_compression_ratio
DY,2025-06-20,SPRING,2.070181702909378,spring_after_ATR_compression_ratio
EFXT,2024-04-02,SPRING,1.2196499246149362,spring_after_ATR_compression_ratio
EMSF,2025-06-03,SPRING,1.4080313944501692,spring_after_ATR_compression_ratio
EOLS,2025-10-10,SPRING,0.8320430623188715,spring_after_ATR_compression_ratio
EVEX,2024-09-19,SPRING,3.962608647793506,spring_after_ATR_compression_ratio
EWV,2025-07-02,SPRING,4.158879635323687,spring_after_ATR_compression_ratio
EXPI,2024-05-01,SPRING,1.790906563515151,spring_after_ATR_compression_ratio
EYPT,2024-07-11,SPRING,1.9905139629217805,spring_after_ATR_compression_ratio
FLUX,2024-06-12,SPRING,3.187036634128167,spring_after_ATR_compression_ratio
FSLY,2024-07-16,SPRING,1.0251748144993904,spring_after_ATR_compression_ratio
FUBO,2024-04-22,SPRING,1.3049676996747157,spring_after_ATR_compression_ratio
FUSB,2024-05-10,SPRING,2.383379961618031,spring_after_ATR_compression_ratio
GBTG,2024-04-30,SPRING,1.101038404393872,spring_after_ATR_compression_ratio
GCTS,2025-09-09,SPRING,2.6660437416186578,spring_after_ATR_compression_ratio
GFR,2025-06-11,SPRING,1.3337404836666409,spring_after_ATR_compression_ratio
GIFT,2025-01-10,SPRING,1.195109153891144,spring_after_ATR_compression_ratio
HKD,2024-12-27,SPRING,0.9560427224526657,spring_after_ATR_compression_ratio
ICCM,2024-07-22,SPRING,4.4853742341678595,spring_after_ATR_compression_ratio
INSE,2025-06-23,SPRING,3.6936821016163006,spring_after_ATR_compression_ratio
IOBT,2025-10-20,SPRING,5.4277059718313785,spring_after_ATR_compression_ratio
JBL,2024-08-30,SPRING,1.3103311404768518,spring_after_ATR_compression_ratio
KBWD,2025-06-26,SPRING,3.768184083145283,spring_after_ATR_compression_ratio
KLXY,2025-06-25,SPRING,1.4687796082509317,spring_after_ATR_compression_ratio
KSCP,2025-04-15,SPRING,5.881216644251837,spring_after_ATR_compression_ratio
KURA,2025-02-03,SPRING,2.7099622815290383,spring_after_ATR_compression_ratio
LINK,2024-05-21,SPRING,2.252471075335466,spring_after_ATR_compression_ratio
LIQT,2024-12-05,SPRING,3.02493593438829,spring_after_ATR_compression_ratio
LULU,2025-06-27,SPRING,1.2238711675292555,spring_after_ATR_compression_ratio
LZM,2024-08-30,SPRING,1.504083044075682,spring_after_ATR_compression_ratio
MDBH,2024-12-26,SPRING,1.204034501159586,spring_after_ATR_compression_ratio
MFI,2025-05-09,SPRING,2.289870123568645,spring_after_ATR_compression_ratio
MHH,2025-06-27,SPRING,1.383049844594435,spring_after_ATR_compression_ratio
MIND,2024-04-29,SPRING,4.041378535046301,spring_after_ATR_compression_ratio
MNOV,2025-10-30,SPRING,6.244266675191523,spring_after_ATR_compression_ratio
MODD,2025-05-27,SPRING,0.818800007656301,spring_after_ATR_compression_ratio
MOBX,2025-12-11,SPRING,1.0668629488763741,spring_after_ATR_compression_ratio
MRBK,2024-10-25,SPRING,1.8878851150928397,spring_after_ATR_compression_ratio
MRKR,2025-05-29,SPRING,4.699645057663677,spring_after_ATR_compression_ratio
MSTR,2024-10-24,SPRING,1.440804670857629,spring_after_ATR_compression_ratio
MYRG,2024-07-10,SPRING,1.6785991845880164,spring_after_ATR_compression_ratio
NIO,2025-07-08,SPRING,0.934517730851263,spring_after_ATR_compression_ratio
NKE,2025-06-26,SPRING,4.649674690565316,spring_after_ATR_compression_ratio
NMFC,2025-08-28,SPRING,2.1385655842986564,spring_after_ATR_compression_ratio
NNBR,2024-06-26,SPRING,1.6523114997326291,spring_after_ATR_compression_ratio
NWFL,2024-05-16,SPRING,1.4915346802359595,spring_after_ATR_compression_ratio
NXL,2024-06-13,SPRING,6.235856523675251,spring_after_ATR_compression_ratio
OKUR,2025-04-07,SPRING,3.186040800623784,spring_after_ATR_compression_ratio
OXSQ,2025-07-03,SPRING,4.109310552977155,spring_after_ATR_compression_ratio
PFXNZ,2025-05-22,SPRING,1.131213097878678,spring_after_ATR_compression_ratio
PLRX,2024-04-25,SPRING,2.32877330377177,spring_after_ATR_compression_ratio
PLUG,2024-05-02,SPRING,1.2377821898656536,spring_after_ATR_compression_ratio
PMVP,2025-05-13,SPRING,1.3861324965589965,spring_after_ATR_compression_ratio
PRSU,2025-06-23,SPRING,2.126262891278666,spring_after_ATR_compression_ratio
PSNY,2024-06-26,SPRING,1.1210019911672235,spring_after_ATR_compression_ratio
QDTE,2025-05-30,SPRING,0.8950127473017436,spring_after_ATR_compression_ratio
QMCO,2024-08-23,SPRING,1.348652044762949,spring_after_ATR_compression_ratio
QQQE,2025-06-23,SPRING,1.1164875320017211,spring_after_ATR_compression_ratio
QQQI,2025-06-23,SPRING,2.3136891306016945,spring_after_ATR_compression_ratio
QVAL,2025-06-26,SPRING,0.9058371827212912,spring_after_ATR_compression_ratio
RCT,2025-09-22,SPRING,1.1780298087412862,spring_after_ATR_compression_ratio
REKR,2024-05-14,SPRING,0.9197860921468635,spring_after_ATR_compression_ratio
RELI,2025-04-07,SPRING,1.299690767747735,spring_after_ATR_compression_ratio
RENT,2025-05-12,SPRING,2.035482909055947,spring_after_ATR_compression_ratio
RGR,2025-12-02,SPRING,0.9003070669442643,spring_after_ATR_compression_ratio
RLAY,2024-12-06,SPRING,1.5808814546456003,spring_after_ATR_compression_ratio
RMCO,2024-05-07,SPRING,2.1026863245922884,spring_after_ATR_compression_ratio
ROLR,2025-03-21,SPRING,0.920390111868001,spring_after_ATR_compression_ratio
RR,2024-06-06,SPRING,1.1350305653345647,spring_after_ATR_compression_ratio
RTO,2024-10-16,SPRING,0.8396377899071047,spring_after_ATR_compression_ratio
RVYL,2024-09-16,SPRING,1.2532406694776868,spring_after_ATR_compression_ratio
RYI,2024-07-10,SPRING,0.8042101835283302,spring_after_ATR_compression_ratio
SBIT,2024-10-31,SPRING,0.9846313883526718,spring_after_ATR_compression_ratio
SDEM,2025-01-13,SPRING,2.2634042257654907,spring_after_ATR_compression_ratio
SDGR,2024-10-08,SPRING,2.239647053242894,spring_after_ATR_compression_ratio
SEB,2025-05-19,SPRING,1.690695723439411,spring_after_ATR_compression_ratio
SEMI,2024-10-11,SPRING,0.9761222430658567,spring_after_ATR_compression_ratio
SEMR,2025-05-08,SPRING,3.9824953289589056,spring_after_ATR_compression_ratio
SERA,2025-06-11,SPRING,3.862468257177528,spring_after_ATR_compression_ratio
SGLY,2025-03-21,SPRING,2.7708802430558324,spring_after_ATR_compression_ratio
SIG,2025-06-02,SPRING,2.8293032638185194,spring_after_ATR_compression_ratio
SINT,2025-04-23,SPRING,2.1555229251271997,spring_after_ATR_compression_ratio
SKWD,2024-10-03,SPRING,1.44958059992228,spring_after_ATR_compression_ratio
SLDB,2025-05-02,SPRING,1.93340174118506,spring_after_ATR_compression_ratio
SMST,2024-11-14,SPRING,1.3566533294980423,spring_after_ATR_compression_ratio
SNAP,2025-09-02,SPRING,1.956451040798943,spring_after_ATR_compression_ratio
SOTK,2025-03-21,SPRING,1.1035791320205681,spring_after_ATR_compression_ratio
SPAQ,2024-12-03,SPRING,1.621122167452016,spring_after_ATR_compression_ratio
SPXS,2024-05-23,SPRING,0.9848659815637626,spring_after_ATR_compression_ratio
STEC,2024-10-15,SPRING,0.8186285208440137,spring_after_ATR_compression_ratio
STFS,2025-03-24,SPRING,5.549886964077403,spring_after_ATR_compression_ratio
STXS,2024-06-03,SPRING,2.049799863281112,spring_after_ATR_compression_ratio
TECS,2024-10-31,SPRING,1.4681994794882467,spring_after_ATR_compression_ratio
TFII,2025-03-31,SPRING,0.9364533518615565,spring_after_ATR_compression_ratio
THCH,2024-09-24,SPRING,3.3106339629292223,spring_after_ATR_compression_ratio
THO,2024-05-29,SPRING,0.9494967521470821,spring_after_ATR_compression_ratio
TMF,2025-05-22,SPRING,0.9080503853048076,spring_after_ATR_compression_ratio
TNYA,2024-10-09,SPRING,0.9080684310118958,spring_after_ATR_compression_ratio
TPL,2025-07-16,SPRING,0.8449754173813322,spring_after_ATR_compression_ratio
TRNS,2025-04-03,SPRING,1.0699030400733671,spring_after_ATR_compression_ratio
UAE,2025-06-10,SPRING,1.6663437253695927,spring_after_ATR_compression_ratio
UVIX,2024-09-03,SPRING,2.219494887245497,spring_after_ATR_compression_ratio
UVXY,2024-12-17,SPRING,0.9194180429782743,spring_after_ATR_compression_ratio
UWMC,2025-06-06,SPRING,1.0142887616987857,spring_after_ATR_compression_ratio
VEEA,2025-04-28,SPRING,1.4194192251075406,spring_after_ATR_compression_ratio
VERA,2025-05-29,SPRING,0.8991966249326808,spring_after_ATR_compression_ratio
VIXY,2024-07-15,SPRING,0.85072632177273,spring_after_ATR_compression_ratio
