symbol,date,event,score,detector
AACG,2024-08-19,SPRING,1.4032691568774356,spring_after_ATR_compression_ratio
AAPL,2024-04-11,SPRING,1.2927815565919452,spring_after_ATR_compression_ratio
ABTS,2025-03-04,SPRING,6.193263153755794,spring_after_ATR_compression_ratio
ADTX,2024-07-01,SPRING,5.498246972933856,spring_after_ATR_compression_ratio
ADV,2025-01-16,SPRING,1.5005348913202268,spring_after_ATR_compression_ratio
AIRE,2024-04-24,SPRING,4.7437550331097915,spring_after_ATR_compression_ratio
AIXI,2024-08-19,SPRING,5.8427449410332155,spring_after_ATR_compression_ratio
AL,2025-05-05,SPRING,1.5117616561628588,spring_after_ATR_compression_ratio
AMDD,2025-11-11,SPRING,0.9562769240258718,spring_after_ATR_compression_ratio
AMTX,2025-04-07,SPRING,1.1947218824607464,spring_after_ATR_compression_ratio
APRE,2025-03-04,SPRING,0.8767504234278136,spring_after_ATR_compression_ratio
ARBK,2024-09-26,SPRING,1.4100402495988809,spring_after_ATR_compression_ratio
AROW,2024-04-19,SPRING,1.6991883987733447,spring_after_ATR_compression_ratio
ASHR,2024-09-23,SPRING,1.567457972879188,spring_after_ATR_compression_ratio
ASNS,2025-08-04,SPRING,4.078595119356778,spring_after_ATR_compression_ratio
ATAI,2024-10-04,SPRING,1.1581947313703642,spring_after_ATR_compression_ratio
AUTL,2025-02-28,SPRING,2.5902832630650074,spring_after_ATR_compression_ratio
AVBP,2025-04-04,SPRING,4.522575263169555,spring_after_ATR_compression_ratio
AVGX,2024-12-03,SPRING,2.0623193048269988,spring_after_ATR_compression_ratio
AXTI,2024-09-26,SPRING,1.682087181578292,spring_after_ATR_compression_ratio
BAER,2025-03-13,SPRING,1.0992990180622382,spring_after_ATR_compression_ratio
BBDO,2024-07-25,SPRING,1.8295955152346537,spring_after_ATR_compression_ratio
BBUC,2025-06-20,SPRING,2.287764183041253,spring_after_ATR_compression_ratio
BCAB,2025-01-02,SPRING,0.9784682601512599,spring_after_ATR_compression_ratio
BDSX,2025-05-15,SPRING,5.94796137411874,spring_after_ATR_compression_ratio
BILL,2025-06-18,SPRING,1.0775139281357191,spring_after_ATR_compression_ratio
BIRK,2024-04-05,SPRING,1.5856124797553108,spring_after_ATR_compression_ratio
BLDP,2025-04-04,SPRING,2.350635165625658,spring_after_ATR_compression_ratio
BON,2024-04-10,SPRING,2.1664392351989306,spring_after_ATR_compression_ratio
BRFH,2024-09-12,SPRING,2.2086125422292735,spring_after_ATR_compression_ratio
BROS,2025-10-13,SPRING,2.2198467825026262,spring_after_ATR_compression_ratio
BTBT,2025-05-16,SPRING,1.67338610094215,spring_after_ATR_compression_ratio
BTE,2024-09-27,SPRING,1.6760963157730036,spring_after_ATR_compression_ratio
BVS,2025-05-07,SPRING,0.9551793856541949,spring_after_ATR_compression_ratio
BWTG,2025-09-02,SPRING,1.1089090237824613,spring_after_ATR_compression_ratio
CARZ,2024-07-03,SPRING,1.4103994640162416,spring_after_ATR_compression_ratio
CATY,2024-05-29,SPRING,0.9418156617382819,spring_after_ATR_compression_ratio
CATO,2025-03-11,SPRING,0.917058228243009,spring_after_ATR_compression_ratio
CBUS,2024-06-11,SPRING,1.9161916472696086,spring_after_ATR_compression_ratio
CC,2025-06-03,SPRING,1.03371141181031,spring_after_ATR_compression_ratio
CCIX,2025-02-20,SPRING,3.4824130484047657,spring_after_ATR_compression_ratio
CDLX,2025-09-15,SPRING,0.8796686575105384,spring_after_ATR_compression_ratio
CDP,2025-05-22,SPRING,1.4162212062680193,spring_after_ATR_compression_ratio
CGEM,2025-10-03,SPRING,1.4663956457714973,spring_after_ATR_compression_ratio
CING,2024-11-07,SPRING,5.590964999065401,spring_after_ATR_compression_ratio
CIVI,2025-06-12,SPRING,1.4659945947991413,spring_after_ATR_compression_ratio
CLDI,2024-10-16,SPRING,3.53318467151763,spring_after_ATR_compression_ratio
CLPR,2024-06-28,SPRING,2.162966644517584,spring_after_ATR_compression_ratio
CMCI,2025-03-03,SPRING,0.8716256496935175,spring_after_ATR_compression_ratio
COHU,2025-06-03,SPRING,2.7605295673207446,spring_after_ATR_compression_ratio
COOT,2024-08-02,SPRING,2.0081371903468446,spring_after_ATR_compression_ratio
CPAY,2024-06-20,SPRING,1.1596647190600198,spring_after_ATR_compression_ratio
CPRI,2024-11-14,SPRING,1.5490610343351192,spring_after_ATR_compression_ratio
CRC,2025-05-30,SPRING,2.7178720625865402,spring_after_ATR_compression_ratio
CREV,2025-04-09,SPRING,1.9065741435783101,spring_after_ATR_compression_ratio
CRGO,2024-09-12,SPRING,1.1880429342143566,spring_after_ATR_compression_ratio
CRIS,2024-10-29,SPRING,3.0151952857146793,spring_after_ATR_compression_ratio
CRH,2025-06-27,SPRING,1.264453829210907,spring_after_ATR_compression_ratio
CRL,2025-02-18,SPRING,2.0982189184447244,spring_after_ATR_compression_ratio
CRSP,2024-05-09,SPRING,1.2991899250813603,spring_after_ATR_compression_ratio
CUE,2024-09-27,SPRING,6.176838232778745,spring_after_ATR_compression_ratio
CVMC,2024-07-10,SPRING,4.669417984780334,spring_after_ATR_compression_ratio
CYRX,2025-03-04,SPRING,4.95528404009696,spring_after_ATR_compression_ratio
DAIO,2024-07-26,SPRING,0.8055225477461032,spring_after_ATR_compression_ratio
DESK,2024-05-29,SPRING,0.949701311147277,spring_after_ATR_compression_ratio
DGLY,2024-11-05,SPRING,4.105320337151373,spring_after_ATR_compression_ratio
DLTR,2025-06-03,SPRING,1.9641690071349642,spring_after_ATR_compression_ratio
DTI,2025-09-16,SPRING,1.3171010091970385,spring_after_ATR_compression_ratio
DUG,2025-09-03,SPRING,2.5749283150336817,spring_after_ATR_compression_ratio
DY,2025-06-20,SPRING,2.070181702909378,spring_after_ATR_compression_ratio
EETH,2025-05-08,SPRING,2.5834555536605093,spring_after_ATR_compression_ratio
EFXT,2024-04-02,SPRING,1.2196499246149362,spring_after_ATR_compression_ratio
EG,2024-12-20,SPRING,1.2912168494948464,spring_after_ATR_compression_ratio
EMSF,2025-06-03,SPRING,1.4080313944501692,spring_after_ATR_compression_ratio
EOLS,2025-10-10,SPRING,0.8320430623188715,spring_after_ATR_compression_ratio
