symbol,date,event,score,detector
AAP,2025-04-09,SPRING,0.9997482861951397,spring_after_sc
ABEO,2025-04-09,SPRING,2.8239055484024678,spring_after_sc
ADTN,2024-05-07,SPRING,4.9702872104829074,spring_after_sc
AMDD,2025-11-11,SPRING,0.9562769240258718,spring_after_sc
AMRN,2024-08-05,SPRING,1.2904628663927202,spring_after_sc
AMTX,2025-04-07,SPRING,1.1947218824607464,spring_after_sc
APPF,2025-04-28,SPRING,2.329793261542243,spring_after_sc
ARCB,2025-04-30,SPRING,1.6326005722757,spring_after_sc
ARBK,2024-09-26,SPRING,1.4100402495988809,spring_after_sc
ARDX,2025-05-16,SPRING,1.4378071352997015,spring_after_sc
ARTL,2024-12-09,SPRING,3.5866802560193087,spring_after_sc
ASAN,2024-09-04,SPRING,4.422147712853357,spring_after_sc
AS,2025-03-11,SPRING,2.3796009381837813,spring_after_sc
ASTL,2025-10-15,SPRING,1.9832470908014348,spring_after_sc
ATMU,2025-03-14,SPRING,0.9735234839353675,spring_after_sc
AVNM,2024-08-09,SPRING,1.0288725548458382,spring_after_sc
AVS,2025-12-12,SPRING,4.067909717441217,spring_after_sc
BBD,2025-01-14,SPRING,1.1155589864696638,spring_after_sc
BDMD,2024-12-31,SPRING,6.244731496057106,spring_after_sc
BEEM,2025-01-23,SPRING,1.8955849428669445,spring_after_sc
BHFAL,2025-10-16,SPRING,2.5370739435222434,spring_after_sc
BHVN,2025-05-16,SPRING,1.2410375651973113,spring_after_sc
BKE,2024-06-17,SPRING,1.271386787134747,spring_after_sc
BLDP,2025-04-04,SPRING,2.350635165625658,spring_after_sc
BOH,2024-06-17,SPRING,0.8657171928863456,spring_after_sc
BRLS,2024-09-11,SPRING,1.4379506207780843,spring_after_sc
BRO,2025-04-29,SPRING,2.11161841322567,spring_after_sc
BUL,2025-04-22,SPRING,2.602147049105576,spring_after_sc
BW,2024-03-20,SPRING,1.7116240438729173,spring_after_sc
CAG,2025-09-30,SPRING,1.4217696251288758,spring_after_sc
CALC,2025-03-04,SPRING,5.526450485343547,spring_after_sc
CAR,2025-04-04,SPRING,0.8753101757976127,spring_after_sc
CBUS,2024-06-11,SPRING,1.9161916472696086,spring_after_sc
CCRN,2025-11-13,SPRING,5.552414762213199,spring_after_sc
CDRE,2025-04-07,SPRING,0.9527617238116567,spring_after_sc
CE,2025-11-04,SPRING,1.4875622041109262,spring_after_sc
CELC,2025-04-04,SPRING,0.9016729918572893,spring_after_sc
CHH,2025-11-21,SPRING,1.0152538821766763,spring_after_sc
CHPT,2024-11-25,SPRING,1.3240993489040063,spring_after_sc
CINT,2025-05-14,SPRING,4.861417814516013,spring_after_sc
CLPR,2024-06-28,SPRING,2.162966644517584,spring_after_sc
CLWT,2025-02-27,SPRING,5.543460750964428,spring_after_sc
CMCT,2025-12-08,SPRING,1.0759014819715167,spring_after_sc
CMP,2024-09-13,SPRING,0.8493559330907551,spring_after_sc
CNNE,2025-04-09,SPRING,0.8340508157131983,spring_after_sc
CNMD,2025-12-10,SPRING,0.8051585325355238,spring_after_sc
COOT,2024-08-02,SPRING,2.0081371903468446,spring_after_sc
COSM,2025-01-13,SPRING,1.1339153553354737,spring_after_sc
CRD.A,2025-03-13,SPRING,1.0676846623083003,spring_after_sc
CRIS,2024-10-29,SPRING,3.0151952857146793,spring_after_sc
CROX,2025-04-09,SPRING,0.9165238246560582,spring_after_sc
CURV,2025-12-16,SPRING,1.663622481445658,spring_after_sc
CZR,2024-05-31,SPRING,5.546539374100874,spring_after_sc
DAWN,2024-04-26,SPRING,1.8651711821348904,spring_after_sc
DFH,2025-04-04,SPRING,2.253857610978039,spring_after_sc
DMAY,2025-05-19,SPRING,4.3717214620674385,spring_after_sc
DORM,2025-05-06,SPRING,1.941165841964636,spring_after_sc
DSWL,2025-05-19,SPRING,5.382789980728092,spring_after_sc
DUG,2025-09-03,SPRING,2.5749283150336817,spring_after_sc
DVAX,2024-05-09,SPRING,1.4469138168915059,spring_after_sc
DWSH,2025-01-06,SPRING,1.9364381088143214,spring_after_sc
EEV,2025-10-21,SPRING,2.437754957735947,spring_after_sc
ENVB,2025-01-07,SPRING,3.088405686984575,spring_after_sc
EPOW,2024-05-28,SPRING,2.175063519401283,spring_after_sc
EQNR,2025-04-09,SPRING,1.432669378156561,spring_after_sc
EVTC,2025-11-11,SPRING,1.0276660731683231,spring_after_sc
EXP,2025-04-09,SPRING,2.042115279317427,spring_after_sc
EZGO,2025-01-07,SPRING,5.638715897257533,spring_after_sc
FDX,2025-04-09,SPRING,0.898863269116346,spring_after_sc
FE,2025-02-28,SPRING,1.3885902803317827,spring_after_sc
FET,2024-11-06,SPRING,3.860345128879718,spring_after_sc
FGI,2025-05-07,SPRING,1.1296272753311647,spring_after_sc
FHN,2025-03-21,SPRING,1.8110372901541547,spring_after_sc
FIW,2025-11-21,SPRING,1.0405293406220175,spring_after_sc
FLO,2025-03-06,SPRING,0.9166661488721785,spring_after_sc
FLUX,2024-06-12,SPRING,3.187036634128167,spring_after_sc
FSLR,2025-01-23,SPRING,2.4793140067002666,spring_after_sc
FSLY,2024-07-16,SPRING,1.0251748144993904,spring_after_sc
FTFT,2024-07-12,SPRING,3.005477928276384,spring_after_sc
FTRE,2024-07-12,SPRING,0.8853478085611217,spring_after_sc
