regime,window,count,median,win_rate,p5
UNKNOWN,5,1760009,0.0013563501849569448,0.5382858837653671,-0.08788417536701473
ACCUMULATION,5,749005,0.0029644268774704496,0.559787985393956,-0.08693130357244083
DISTRIBUTION,5,945328,-0.0009604335696956623,0.48132923175871234,-0.13609467455621305
MARKUP,5,433096,-0.0022371364653243075,0.46314212091545526,-0.13013698630136983
MARKDOWN,5,329015,0.0021890953966114957,0.5507408476817166,-0.09107829445067774
UNKNOWN,10,1748233,0.0027565733672605397,0.5530481348881986,-0.12313432835820892
ACCUMULATION,10,736574,0.005930983736692985,0.583304596686823,-0.11853543396964816
DISTRIBUTION,10,924145,-0.0020644441344678244,0.47629646862775865,-0.1941176470588234
MARKUP,10,428899,-0.005189670085258835,0.4444962566944665,-0.191637630662021
MARKDOWN,10,327708,0.004825608253007707,0.5694032492340743,-0.12282051606899343
UNKNOWN,20,1724787,0.005859088911674304,0.5757881987746892,-0.16724137931034477
ACCUMULATION,20,711114,0.012477350128167641,0.6147073465014048,-0.15841584158415845
DISTRIBUTION,20,882905,-0.0048386292213298265,0.46625854423748875,-0.26725378601282684
MARKUP,20,420916,-0.012987012987013102,0.4194542379001986,-0.2761904761904762
MARKDOWN,20,324885,0.01079084808550701,0.6046262523662219,-0.15933962392677986
UNKNOWN,40,1678097,0.011255505621913908,0.5939918848552855,-0.2336222950324138
ACCUMULATION,40,660281,0.02484965128391803,0.647062387074594,-0.2166215371797542
DISTRIBUTION,40,803731,-0.010007182969831496,0.45358210645103897,-0.3651705170226961
MARKUP,40,404479,-0.02872411489645954,0.38043507821172423,-0.39981970539983275
MARKDOWN,40,318580,0.025547445255474477,0.6533084311632871,-0.20373866591956383
