symbol,date,transition,prior_regime,new_regime
AADR,2024-06-12,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AAME,2025-12-19,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AAMI,2025-09-04,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AAOI,2025-12-10,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AAP,2024-08-23,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AAPD,2024-03-19,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AAPG,2025-04-08,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AAPL,2024-04-11,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AB,2024-12-20,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ABBV,2025-04-09,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ABCB,2024-07-09,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ABCB,2024-11-06,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
ABCS,2025-01-13,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ABL,2025-11-07,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ABLV,2024-05-30,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
ABLV,2025-03-07,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ABM,2025-03-10,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ABNB,2025-02-14,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ABOS,2024-06-17,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ABR,2025-07-22,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ABSI,2024-09-10,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ABT,2025-10-01,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ABTS,2025-10-08,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ACB,2024-09-04,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ACDC,2024-10-21,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ACES,2025-08-22,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ACET,2024-11-13,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ACGLN,2025-04-21,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ACHC,2024-03-20,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ACHV,2024-11-08,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ACI,2024-06-18,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ACIU,2024-06-24,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
