date,symbol,transition,prior_regime,new_regime,event,detector,fwd_5,fwd_10,fwd_20,fwd_40
2024-06-12,AADR,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.01721686937292688,-0.024640657084188944,0.004580634970778652,-0.061127783920391754
2025-12-19,AAME,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,,,,
2025-09-04,AAMI,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,0.13353672846749576,0.17343346632245948,0.08472189626848148,0.1663928655245248
2025-12-10,AAOI,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.22412807318467687,0.17209834190966267,,
2024-08-23,AAP,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.07812817904374358,-0.21220752797558495,-0.17456765005086472,-0.16622583926754841
2024-03-19,AAPD,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,0.03623188405797095,0.03804347826086962,0.04800724637681175,-0.07336956521739124
2025-04-08,AAPG,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.0005138746145940676,0.22816032887975313,0.24191161356628976,0.4373072970195271
2024-04-11,AAPL,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,-0.04570383912248632,-0.029421846435100596,0.054444698354661814,0.12482861060329076
2024-12-20,AB,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.02147074610842714,-0.028717122920021487,0.07917337627482568,-0.04106280193236722
2025-04-09,ABBV,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,-0.04537366548042698,0.0029470640569395634,0.03191725978647697,0.05554937722419928
