symbol,date,event,prior_regime
AACB,2025-10-27,SOS,DISTRIBUTION
AADR,2024-05-22,SOS,DISTRIBUTION
AAAU,2024-08-02,SOS,DISTRIBUTION
AAMI,2025-08-05,SOS,DISTRIBUTION
AAME,2025-08-19,SOS,DISTRIBUTION
AAOI,2024-11-29,SOS,DISTRIBUTION
AAPD,2025-11-20,SOW,ACCUMULATION
AAPY,2024-07-18,SOS,DISTRIBUTION
AAPY,2024-04-30,SOW,ACCUMULATION
AB,2024-10-24,SOS,DISTRIBUTION
ABBV,2024-04-26,SOW,ACCUMULATION
ABCB,2024-11-06,SOS,ACCUMULATION
ABEO,2024-03-01,SOS,DISTRIBUTION
ABEO,2025-04-08,SOW,ACCUMULATION
ABFL,2025-04-07,SOW,ACCUMULATION
ABL,2025-06-04,SOW,ACCUMULATION
ABLLL,2025-06-04,SOW,ACCUMULATION
ABLV,2024-05-30,SOW,DISTRIBUTION
ABNB,2024-04-11,SOS,DISTRIBUTION
ABM,2024-06-07,SOS,MARKDOWN
ABP,2025-07-25,SOS,DISTRIBUTION
ABSI,2024-03-04,SOS,DISTRIBUTION
ABSI,2024-06-17,SOW,MARKUP
ABR,2024-04-23,SOS,DISTRIBUTION
ABT,2025-06-24,SOS,DISTRIBUTION
ABTS,2025-10-01,SOS,DISTRIBUTION
ABXB,2025-10-09,SOW,ACCUMULATION
ABVX,2025-12-10,SOS,DISTRIBUTION
ACA,2024-11-12,SOS,MARKDOWN
ACAD,2025-08-12,SOS,DISTRIBUTION
ACAD,2024-05-09,SOW,ACCUMULATION
ACCO,2024-11-11,SOS,DISTRIBUTION
ACES,2024-05-22,SOS,DISTRIBUTION
ACGL,2024-07-03,SOS,DISTRIBUTION
ACET,2025-04-10,SOW,ACCUMULATION
ACHV,2024-02-29,SOW,ACCUMULATION
ACI,2025-10-06,SOW,ACCUMULATION
ACIC,2024-05-10,SOS,DISTRIBUTION
ACIC,2024-10-07,SOW,MARKUP
ACLS,2024-05-01,SOS,DISTRIBUTION
ACLX,2024-10-08,SOS,DISTRIBUTION
ACMR,2024-03-01,SOS,DISTRIBUTION
ACMR,2024-07-18,SOW,MARKUP
ACN,2025-08-01,SOW,ACCUMULATION
ACON,2025-03-28,SOS,DISTRIBUTION
ACR,2025-12-03,SOS,DISTRIBUTION
ACRE,2024-11-06,SOW,ACCUMULATION
ACTU,2024-10-28,SOS,DISTRIBUTION
ACSI,2024-12-05,SOS,MARKDOWN
ACTG,2024-03-15,SOS,ACCUMULATION
ACTG,2024-11-12,SOW,ACCUMULATION
ACVA,2025-10-10,SOW,ACCUMULATION
ACU,2024-04-19,SOW,DISTRIBUTION
ACWX,2025-04-08,SOW,ACCUMULATION
ADBG,2025-06-17,SOW,ACCUMULATION
ADAG,2024-04-01,SOS,DISTRIBUTION
ADCT,2024-03-13,SOS,ACCUMULATION
ADCT,2024-11-07,SOW,DISTRIBUTION
ADBE,2025-04-07,SOW,DISTRIBUTION
ADEA,2024-04-23,SOW,ACCUMULATION
ADIL,2024-02-28,SOS,DISTRIBUTION
ADM,2024-04-30,SOS,DISTRIBUTION
ADM,2024-11-05,SOW,MARKUP
ADMA,2024-08-09,SOS,MARKDOWN
ADP,2025-03-04,SOS,DISTRIBUTION
ADNT,2024-11-06,SOW,ACCUMULATION
ADPV,2024-05-13,SOS,DISTRIBUTION
ADSE,2025-06-03,SOW,DISTRIBUTION
ADT,2025-07-24,SOS,DISTRIBUTION
ADUR,2025-10-03,SOS,DISTRIBUTION
ADTN,2025-01-08,SOS,MARKDOWN
ADTN,2024-05-07,SOW,ACCUMULATION
ADTX,2024-08-07,SOW,ACCUMULATION
ADUS,2024-07-18,SOS,DISTRIBUTION
ADV,2025-03-07,SOW,DISTRIBUTION
AEG,2025-07-07,SOS,ACCUMULATION
AEHL,2024-07-10,SOS,ACCUMULATION
AEHL,2025-01-07,SOW,DISTRIBUTION
AEI,2025-09-10,SOS,DISTRIBUTION
AEHR,2025-09-22,SOS,DISTRIBUTION
AEM,2025-10-02,SOS,DISTRIBUTION
AENT,2024-12-27,SOS,DISTRIBUTION
AEO,2025-12-15,SOS,DISTRIBUTION
AEP,2025-10-07,SOS,DISTRIBUTION
AER,2025-11-05,SOS,DISTRIBUTION
AES,2024-03-05,SOS,DISTRIBUTION
AERT,2024-05-15,SOW,MARKUP
AETH,2025-04-24,SOW,ACCUMULATION
AEYE,2024-04-29,SOS,DISTRIBUTION
AFBI,2024-04-01,SOW,ACCUMULATION
AFCG,2025-08-19,SOW,MARKUP
AFMC,2024-10-21,SOS,DISTRIBUTION
AFRI,2024-05-16,SOS,DISTRIBUTION
AFRM,2024-03-14,SOW,ACCUMULATION
AFSM,2024-11-06,SOS,DISTRIBUTION
AFYA,2024-03-14,SOS,DISTRIBUTION
AG,2025-10-06,SOS,DISTRIBUTION
AGAE,2025-11-10,SOW,DISTRIBUTION
AGCO,2024-04-10,SOS,DISTRIBUTION
AGEN,2024-11-12,SOW,DISTRIBUTION
AGH,2025-07-25,SOS,DISTRIBUTION
AGI,2025-10-02,SOS,DISTRIBUTION
AGM,2024-07-23,SOS,DISTRIBUTION
