symbol,date,event,prior_regime
A,2025-11-25,BC,ACCUMULATION
AACB,2025-10-27,SOS,DISTRIBUTION
AA,2025-10-23,BC,ACCUMULATION
AAAU,2024-04-15,BC,DISTRIBUTION
AAAU,2024-08-02,SOS,DISTRIBUTION
AADR,2024-04-03,BC,ACCUMULATION
AADR,2024-05-22,SOS,DISTRIBUTION
AACG,2025-07-31,BC,ACCUMULATION
AAMI,2025-08-05,SOS,DISTRIBUTION
AAL,2025-08-12,BC,ACCUMULATION
AAME,2025-12-19,BC,MARKUP
AAME,2025-08-19,SOS,DISTRIBUTION
AAOI,2025-12-10,BC,MARKUP
AAOI,2024-11-29,SOS,DISTRIBUTION
AAPG,2025-04-08,BC,MARKUP
AAP,2025-05-22,BC,ACCUMULATION
AAP,2025-04-09,SPRING,ACCUMULATION
AAPB,2025-08-08,BC,ACCUMULATION
AAPD,2025-04-07,BC,DISTRIBUTION
AAPD,2025-11-20,SOW,ACCUMULATION
AAPL,2025-08-08,BC,ACCUMULATION
AAPL,2024-04-11,SPRING,MARKDOWN
AAPU,2025-08-08,BC,ACCUMULATION
AARD,2025-12-03,BC,DISTRIBUTION
AAPY,2024-06-11,BC,MARKDOWN
AAPY,2024-07-18,SOS,DISTRIBUTION
AAPY,2024-04-30,SOW,ACCUMULATION
AAPX,2025-08-08,BC,ACCUMULATION
AB,2024-12-20,BC,MARKUP
AB,2024-10-24,SOS,DISTRIBUTION
ABBV,2025-10-01,BC,ACCUMULATION
ABBV,2024-04-26,SOW,ACCUMULATION
ABAT,2025-10-14,BC,ACCUMULATION
ABCL,2025-10-01,BC,ACCUMULATION
ABEO,2025-04-30,BC,ACCUMULATION
ABEO,2025-04-09,SPRING,MARKDOWN
ABEO,2024-03-01,SOS,DISTRIBUTION
ABEO,2025-04-08,SOW,ACCUMULATION
ABCS,2025-08-12,BC,ACCUMULATION
ABCS,2025-01-13,SPRING,MARKDOWN
ABCB,2025-07-29,BC,ACCUMULATION
ABCB,2024-07-09,SPRING,MARKDOWN
ABCB,2024-11-06,SOS,ACCUMULATION
ABFL,2025-10-02,BC,MARKDOWN
ABFL,2025-04-07,SOW,ACCUMULATION
ABEV,2025-10-30,BC,DISTRIBUTION
ABG,2025-01-30,BC,ACCUMULATION
ABLS,2025-07-21,BC,DISTRIBUTION
ABL,2025-11-07,SPRING,MARKDOWN
ABL,2025-06-04,SOW,ACCUMULATION
ABLLL,2025-06-04,SOW,ACCUMULATION
ABLV,2025-09-09,BC,ACCUMULATION
ABLV,2025-03-07,SPRING,MARKDOWN
ABLV,2024-05-30,SOW,DISTRIBUTION
ABM,2025-09-05,BC,ACCUMULATION
ABM,2025-04-07,SPRING,DISTRIBUTION
ABM,2024-06-07,SOS,MARKDOWN
ABP,2025-07-23,BC,DISTRIBUTION
ABP,2025-07-25,SOS,DISTRIBUTION
ABNB,2025-02-14,BC,MARKUP
ABNB,2024-04-11,SOS,DISTRIBUTION
ABOS,2025-10-09,BC,DISTRIBUTION
ABR,2025-07-22,BC,MARKUP
ABR,2024-04-23,SOS,DISTRIBUTION
ABSI,2025-10-15,BC,ACCUMULATION
ABSI,2024-09-10,SPRING,MARKDOWN
ABSI,2024-03-04,SOS,DISTRIBUTION
ABSI,2024-06-17,SOW,MARKUP
ABTS,2025-09-22,BC,ACCUMULATION
ABTS,2025-03-04,SPRING,ACCUMULATION
ABTS,2025-10-01,SOS,DISTRIBUTION
ABT,2025-10-01,BC,MARKUP
ABT,2025-06-24,SOS,DISTRIBUTION
ABUS,2025-09-11,BC,ACCUMULATION
ABXB,2025-10-09,SOW,ACCUMULATION
ABVX,2025-11-20,BC,ACCUMULATION
ABVX,2025-12-10,SOS,DISTRIBUTION
ACAD,2025-05-08,BC,MARKDOWN
